,Year,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue
0,2017,Allerton,Pizza Place,Fried Chicken Joint,Donut Shop,Sandwich Place,Caribbean Restaurant,Deli / Bodega,Fast Food Restaurant,Pharmacy,Supermarket,Bar,Convenience Store,Discount Store,Construction & Landscaping,Diner,Basketball Court,Metro Station,Mexican Restaurant,Mobile Phone Shop,Bike Trail,Breakfast Spot
1,2017,Annadale,Restaurant,Trail,Pizza Place,Diner,Food,Park,Train Station,Home Service,Liquor Store,Elementary School,Sushi Restaurant,American Restaurant,Deli / Bodega,Cosmetics Shop,Fish Market,Factory,Falafel Restaurant,Farm,Farmers Market,Dance Studio
2,2017,Arden Heights,Park,Bus Stop,Sushi Restaurant,Trail,Liquor Store,Pizza Place,Coffee Shop,Mexican Restaurant,Sandwich Place,Spa,Pharmacy,Dog Run,Construction & Landscaping,Business Service,Food,Bank,Italian Restaurant,Shopping Mall,Optical Shop,Farmers Market
3,2017,Arlington,Bus Stop,Hardware Store,American Restaurant,Coffee Shop,Snack Place,Donut Shop,Fast Food Restaurant,Comic Shop,Discount Store,Convenience Store,Bar,Nightlife Spot,Department Store,Wings Joint,Rental Service,Deli / Bodega,Fish & Chips Shop,Falafel Restaurant,Farm,Farmers Market
4,2017,Arrochar,Bus Stop,Italian Restaurant,Beach,Baseball Field,Sandwich Place,Steakhouse,Outdoors & Recreation,Park,Government Building,Middle Eastern Restaurant,Mediterranean Restaurant,Bagel Shop,Pizza Place,Historic Site,Home Service,Polish Restaurant,Supermarket,Hotel,Deli / Bodega,Design Studio
5,2017,Arverne,Surf Spot,Beach,Donut Shop,Sandwich Place,Bus Stop,Deli / Bodega,Wine Shop,Chinese Restaurant,Farmers Market,Caribbean Restaurant,Bank,Taco Place,Thai Restaurant,Gas Station,Pizza Place,Playground,Metro Station,Harbor / Marina,Home Service,Gym / Fitness Center
6,2017,Astoria,Greek Restaurant,Bar,Pizza Place,Middle Eastern Restaurant,Grocery Store,Coffee Shop,Bakery,Italian Restaurant,Burger Joint,Seafood Restaurant,Dessert Shop,Gourmet Shop,Bagel Shop,Pub,Sandwich Place,Mediterranean Restaurant,Thai Restaurant,Wine Shop,Gym,Ice Cream Shop
7,2017,Astoria Heights,Bus Station,Airport Service,Rental Car Location,Donut Shop,Park,Bar,Hotel,Convenience Store,Italian Restaurant,Deli / Bodega,Furniture / Home Store,Pizza Place,Supermarket,Café,Discount Store,Greek Restaurant,Bakery,Moving Target,Dessert Shop,Sushi Restaurant
8,2017,Auburndale,Korean Restaurant,Greek Restaurant,Pizza Place,Ice Cream Shop,Pharmacy,Chinese Restaurant,Cosmetics Shop,Bank,Donut Shop,Mobile Phone Shop,Italian Restaurant,Bar,Pet Store,Diner,Liquor Store,Sandwich Place,Café,Sushi Restaurant,Juice Bar,Modern Greek Restaurant
9,2017,Bath Beach,Pizza Place,Bank,Japanese Restaurant,Chinese Restaurant,Bakery,Sushi Restaurant,Italian Restaurant,Bubble Tea Shop,Cantonese Restaurant,Coffee Shop,Fast Food Restaurant,Supplement Shop,Dessert Shop,Asian Restaurant,Donut Shop,Mobile Phone Shop,Gourmet Shop,Spa,Malay Restaurant,Shanghai Restaurant
10,2017,Battery Park City,Park,Coffee Shop,Hotel,Gym / Fitness Center,Gym,Memorial Site,Plaza,Burger Joint,Scenic Lookout,Steakhouse,Shopping Mall,Sandwich Place,New American Restaurant,Pizza Place,Playground,Food Court,Gourmet Shop,American Restaurant,Italian Restaurant,Grocery Store
11,2017,Bay Ridge,Pizza Place,Spa,Italian Restaurant,Bagel Shop,Chinese Restaurant,Bar,Coffee Shop,American Restaurant,Greek Restaurant,Diner,Bakery,Cocktail Bar,Sandwich Place,Indian Restaurant,Department Store,Cosmetics Shop,Lebanese Restaurant,Middle Eastern Restaurant,Grocery Store,Japanese Restaurant
12,2017,Bay Terrace,Italian Restaurant,Donut Shop,Pizza Place,Clothing Store,Bus Stop,Women's Store,Cosmetics Shop,Chinese Restaurant,Supermarket,Bank,Harbor / Marina,Kids Store,Shopping Mall,Martial Arts Dojo,Shipping Store,Shoe Store,Home Service,Mobile Phone Shop,American Restaurant,Gym
13,2017,Baychester,Clothing Store,Pizza Place,Pharmacy,Donut Shop,Bus Station,Department Store,Mobile Phone Shop,Supermarket,Discount Store,Accessories Store,Shopping Mall,Fried Chicken Joint,Kids Store,Mexican Restaurant,Bakery,Bagel Shop,Spanish Restaurant,Chinese Restaurant,Shoe Store,Sandwich Place
14,2017,Bayside,Pizza Place,American Restaurant,Pharmacy,Sandwich Place,Sushi Restaurant,Bar,Mobile Phone Shop,Bakery,Korean Restaurant,Asian Restaurant,Italian Restaurant,Indian Restaurant,Thai Restaurant,Mexican Restaurant,Bagel Shop,Bank,Burger Joint,Chinese Restaurant,Coffee Shop,Supplement Shop
15,2017,Bayswater,Grocery Store,Park,Chinese Restaurant,Auto Dealership,Pizza Place,Playground,Home Service,Hardware Store,Other Great Outdoors,Food Court,Food Stand,French Restaurant,Exhibit,Eye Doctor,Factory,Falafel Restaurant,Fountain,Farm,Food Truck,Farmers Market
16,2017,Bedford Park,Pizza Place,Park,Diner,Deli / Bodega,Donut Shop,Baseball Field,Mexican Restaurant,Sandwich Place,Coffee Shop,Bus Station,Bank,Botanical Garden,Gym,Spanish Restaurant,Grocery Store,Supermarket,Garden,Discount Store,Café,Chinese Restaurant
17,2017,Bedford Stuyvesant,Coffee Shop,Café,Pizza Place,Bar,Wine Shop,Deli / Bodega,Caribbean Restaurant,Mexican Restaurant,Chinese Restaurant,Garden,Fried Chicken Joint,Cocktail Bar,Discount Store,Boutique,Juice Bar,Southern / Soul Food Restaurant,Speakeasy,Brazilian Restaurant,Pool,Seafood Restaurant
18,2017,Beechhurst,Italian Restaurant,Pizza Place,Donut Shop,Deli / Bodega,Supermarket,Pharmacy,Bus Station,Gym / Fitness Center,Park,Japanese Restaurant,Eye Doctor,Bakery,Bank,Toy / Game Store,Martial Arts Dojo,Butcher,Optical Shop,Spa,South American Restaurant,Gym
19,2017,Bellaire,Pizza Place,Park,Bus Station,Donut Shop,Fast Food Restaurant,Deli / Bodega,Intersection,Baseball Field,Gym,Italian Restaurant,Convenience Store,Greek Restaurant,Bagel Shop,Pharmacy,Coffee Shop,Rental Car Location,Chinese Restaurant,Farmers Market,Tanning Salon,Gas Station
20,2017,Belle Harbor,Beach,Spa,Pub,Deli / Bodega,Smoke Shop,Mexican Restaurant,Event Space,Bakery,Bagel Shop,Pharmacy,Bed & Breakfast,Donut Shop,Harbor / Marina,Italian Restaurant,Food,Falafel Restaurant,Fried Chicken Joint,French Restaurant,Eye Doctor,Fountain
21,2017,Bellerose,Deli / Bodega,Mobile Phone Shop,Motel,Sandwich Place,Pizza Place,Bus Station,Grocery Store,Gym,Italian Restaurant,Chinese Restaurant,Paper / Office Supplies Store,Train,Food Truck,Pharmacy,Electronics Store,Bank,Bar,Food & Drink Shop,Massage Studio,Halal Restaurant
22,2017,Belmont,Italian Restaurant,Pizza Place,Bakery,Shoe Store,Deli / Bodega,Zoo,Latin American Restaurant,Café,Dessert Shop,Clothing Store,Fish Market,Food & Drink Shop,Pharmacy,Plaza,Spanish Restaurant,Mexican Restaurant,Bank,Diner,Liquor Store,Garden
23,2017,Bensonhurst,Bank,Pharmacy,Pizza Place,Bakery,Japanese Restaurant,Chinese Restaurant,Italian Restaurant,Mobile Phone Shop,Ice Cream Shop,Supplement Shop,Donut Shop,Sandwich Place,Bagel Shop,Sushi Restaurant,Liquor Store,Cantonese Restaurant,Dim Sum Restaurant,Coffee Shop,Supermarket,Bubble Tea Shop
24,2017,Bergen Beach,Japanese Restaurant,American Restaurant,Peruvian Restaurant,Pizza Place,Food,Stables,Baseball Field,Supermarket,Deli / Bodega,Italian Restaurant,Fountain,Filipino Restaurant,Exhibit,Fried Chicken Joint,Eye Doctor,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
25,2017,Blissville,Donut Shop,Bakery,Deli / Bodega,Rental Car Location,Chinese Restaurant,Pizza Place,Diner,Performing Arts Venue,Coffee Shop,Discount Store,Bus Station,Intersection,Caribbean Restaurant,Skating Rink,South American Restaurant,Spa,Seafood Restaurant,Sporting Goods Shop,Sandwich Place,Burger Joint
26,2017,Bloomfield,Baseball Field,Arcade,Sporting Goods Shop,Pizza Place,Park,Clothing Store,Gymnastics Gym,Skating Rink,Grocery Store,Café,Theme Park,Boxing Gym,Sports Club,Bus Stop,Recreation Center,Bus Station,Bagel Shop,Burger Joint,Rental Service,Department Store
27,2017,Boerum Hill,Coffee Shop,Bar,Bakery,Grocery Store,Cocktail Bar,Ice Cream Shop,Bookstore,Cosmetics Shop,Vietnamese Restaurant,Gym / Fitness Center,Sushi Restaurant,Furniture / Home Store,Flower Shop,Opera House,French Restaurant,Theater,Yoga Studio,Sandwich Place,Japanese Restaurant,Performing Arts Venue
28,2017,Borough Park,Pizza Place,Pharmacy,Bank,Deli / Bodega,Kids Store,Bakery,Coffee Shop,Sandwich Place,Restaurant,Supermarket,Cheese Shop,Chinese Restaurant,Bike Shop,Park,Grocery Store,Gym,Mexican Restaurant,Food Truck,Fast Food Restaurant,Candy Store
29,2017,Breezy Point,Trail,Surf Spot,American Restaurant,Beach,Park,Fish Market,Eye Doctor,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio,Fish & Chips Shop,Flower Shop,Flea Market,Event Space,Food
30,2017,Briarwood,Donut Shop,Pizza Place,Coffee Shop,Indian Restaurant,Sandwich Place,Pharmacy,Fast Food Restaurant,Bank,Diner,Liquor Store,Bus Stop,Chinese Restaurant,Latin American Restaurant,Sushi Restaurant,Supermarket,Deli / Bodega,Ice Cream Shop,Fried Chicken Joint,Pub,Bus Station
31,2017,Brighton Beach,Beach,Bakery,Restaurant,Russian Restaurant,Café,Food Truck,Grocery Store,Eastern European Restaurant,Supermarket,Mobile Phone Shop,Aquarium,Sushi Restaurant,Donut Shop,Seafood Restaurant,Gourmet Shop,Gym,Pharmacy,Park,Theater,Bank
32,2017,Broad Channel,Surf Spot,Dive Bar,Bagel Shop,Beach,Pizza Place,Playground,Chinese Restaurant,Sandwich Place,Food,Sporting Goods Shop,Metro Station,Deli / Bodega,Other Nightlife,Filipino Restaurant,Exhibit,Eye Doctor,Factory,Fried Chicken Joint,Falafel Restaurant,Farm
33,2017,Broadway Junction,Discount Store,Deli / Bodega,Fried Chicken Joint,Donut Shop,Sandwich Place,Latin American Restaurant,Supermarket,Bakery,Pizza Place,Playground,Chinese Restaurant,Diner,Bus Stop,Mexican Restaurant,Bar,Bus Station,Coffee Shop,Food,Grocery Store,Pharmacy
